IND_ID,Strain_ID
IND1011,HpGP-DOM-009
IND1012,HpGP-LAT-008
IND1013,HpGP-SPA-317
IND1014,Khanty39
IND1015,HpGP-POR-008
IND1016,Hp-A14
IND1017,HpGP-DOM-010
IND1018,HpGP-SWT-006
IND1019,HpGP-POL-110
IND1020,MX-2002-14
IND1021,Nentsy32
IND1022,Nentsy38
IND1023,SA226A
IND1024,HpGP-CAN-014
IND1025,HpGP-CHI-104
IND1026,HpGP-CHI-212
IND1027,Khanty16
IND1028,ES-7
IND1029,HpGP-USA-203
IND1030,HpGP-CHI-018
IND1031,HpGP-POR-002
IND1032,HpGP-TUR-009
IND1033,MM2012-26
IND1034,HpGP-RUS-011
IND1035,HpGP-GRE-046
IND1036,HpGP-FRA-016
IND1037,HpGP-GMB-003
IND1038,HP08074
IND1039,HpGP-VNM-007
IND1040,HpGP-26695-ATCC
IND1041,HpGP-IRN-002
IND1042,HpGP-TWN-020
IND1043,HpGP-MMR-008
IND1044,HpGP-BRA-001
IND1045,HpGP-CHI-017
IND1046,HpGP-COL-303
IND1047,HpGP-COL-309
IND1048,HpGP-DOM-001
IND1049,HpGP-ITA-007
IND1050,HpGP-SPA-507
IND1051,HpGP-FRA-007
IND1052,HpGP-TWN-030
IND1053,SA169C
IND1054,HpGP-SWE-025
IND1055,SA157A
IND1056,HpGP-JAP-113
IND1057,HpGP-SPA-302
IND1058,Nentsy81
IND1059,HpGP-MEX-028
IND1060,HpGP-POL-107
IND1061,HpGP-POR-003
IND1062,HpGP-ALG-010
IND1063,HpGP-KOR-112
IND1064,HpGP-CHI-102
IND1065,HpGP-GER-015
IND1066,HpGP-DOM-004
IND1067,CAN-019
IND1068,HpGP-DOM-007
IND1069,HpGP-LIT-024
IND1070,HpGP-GER-001
IND1071,HpGP-MEX-002
IND1072,HpGP-COL-118
IND1073,HpGP-FRA-004
IND1074,HpGP-RUS-008
IND1075,HpGP-GRE-006
IND1076,HpGP-SPA-001
IND1077,HpGP-SPA-005
IND1078,HpGP-LAT-001
IND1079,HpGP-ITA-014
IND1080,SA46C
IND1081,HpGP-KOR-005
IND1082,HpGP-MEX-041
IND1083,HpGP-KOR-023
IND1084,HpGP-USA-106
IND1085,HpGP-CHI-105
IND1086,HpGP-CRI-008
IND1087,HpGP-PER-110
IND1088,HpGP-POL-106
IND1089,HpGP-LAT-030
IND1090,HpGP-LIT-025
IND1091,HpGP-MMR-002
IND1092,Puno135
IND1093,HpGP-VNM-001
IND1094,HpGP-JAP-028
IND1095,HpGP-USA-405
IND1096,HpGP-TWN-007
IND1097,SA175A
IND1098,Nic32_A
IND1099,MCms1055
IND1100,HpGP-TWN-018
IND1101,HpGP-MEX-004
IND1102,HpGP-ZAF-002
IND1103,HpGP-KOR-035
IND1104,HpGP-PER-017
IND1105,HpGP-LAT-035
IND1106,HpGP-COL-008
IND1107,Nentsy82
IND1108,HpGP-COG-011
IND1109,Neuguinea25
IND1110,HpGP-GRE-022
IND1111,Nic29_A
IND1112,HpGP-PER-104
IND1113,HpGP-SWT-010
IND1114,Aklavik86
IND1115,HpGP-MAL-007
IND1116,HpGP-CHI-110
IND1117,HpGP-LIT-031
IND1118,HpGP-HON-017
IND1119,HLJHP193
IND1120,HpGP-MAL-008
IND1121,HpGP-TUR-003
IND1122,HP08058
IND1123,HpGP-CAN-001
IND1124,HpGP-SPA-806
IND1125,HpGP-COL-121
IND1126,HpGP-KOR-009
IND1127,HpGP-NGA-006
IND1128,HpGP-BRA-008
IND1129,HpGP-HON-019
IND1130,HpGP-BGR-010
IND1131,HpGP-ITA-011
IND1132,HpGP-TWN-022
IND1133,Neuguinea63
IND1134,HpGP-PER-114
IND1135,ALA3
IND1136,HpGP-LAT-026
IND1137,HpGP-BGR-006
IND1138,HpGP-IND-009
IND1139,HpGP-COL-106
IND1140,HpGP-SWE-027
IND1141,HpGP-GRE-002
IND1142,HpGP-SPA-016
IND1143,HpGP-ARG-006
IND1144,HpGP-USA-425
IND1145,HpGP-LAT-010
IND1146,HpGP-NPL-006
IND1147,HpGP-POR-105
IND1148,HpGP-COL-211
IND1149,HpGP-LAT-006
IND1150,HpGP-POR-006
IND1151,HpGP-SPA-610
IND1152,SSR3
IND1153,J99
IND1154,HpGP-SWE-019
IND1155,Shi470
IND1156,HpGP-USA-001
IND1157,HpGP-LAT-027
IND1158,HpGP-KOR-034
IND1159,HpGP-GRE-043
IND1160,HpGP-POR-101
IND1161,HpGP-COL-109
IND1162,HpGP-PER-016
IND1163,HpGP-SPA-508
IND1164,HpGP-GER-012
IND1165,HpGP-SWE-028
IND1166,HpGP-BGD-003
IND1167,HpGP-DOM-006
IND1168,HpGP-FRA-009
IND1169,HpGP-ISL-011
IND1170,HpGP-TWN-003
IND1171,HpGP-TWN-023
IND1172,HpGP-CHI-023
IND1173,HpGP-ITA-001
IND1174,HpGP-JAP-013
IND1175,HpGP-ALG-004
IND1176,HpGP-JAP-015
IND1177,HpGP-SWE-024
IND1178,HpGP-USA-416
IND1179,Pt-7854
IND1180,HpGP-ALG-006
IND1181,Koryak28
IND1182,SA158C
IND1183,HpGP-USA-116
IND1184,Nentsy28
IND1185,HP99440
IND1186,HpGP-ARG-002
IND1187,HpGP-COL-102
IND1188,HpGP-CAN-022
IND1189,HpGP-CHN-004
IND1190,HpGP-BRA-019
IND1191,HpGP-NPL-008
IND1192,HpGP-POR-106
IND1193,Myanmar52
IND1194,HP15005
IND1195,HPAG1
IND1196,HpGP-SPA-206
IND1197,HpGP-GRE-008
IND1198,HpGP-ISR-007
IND1199,HpGP-ARG-001
IND1200,HpGP-HON-013
IND1201,HpGP-ITA-017
IND1202,HpGP-KAZ-001
IND1203,HpGP-POL-006
IND1204,HpGP-POR-015
IND1205,SSR9
IND1206,GAM121Aii
IND1207,HpGP-SPA-701
IND1208,HpGP-TWN-017
IND1209,HpGP-ALG-002
IND1210,TUVAB18a
IND1211,HpGP-POL-005
IND1212,Koryak37
IND1213,HpGP-POL-104
IND1214,HpGP-SPA-404
IND1215,HpGP-GER-013
IND1216,HpGP-USA-423
IND1217,HpGP-POR-013
IND1218,Hui1769
IND1219,HpGP-CHI-005
IND1220,HpGP-NPL-011
IND1221,SA168C
IND1222,HpGP-DOM-002
IND1223,HpGP-COL-107
IND1224,HpGP-KGZ-009
IND1225,HpGP-KOR-010
IND1226,HpGP-USA-306
IND1227,HpGP-SPA-305
IND1228,HpGP-PER-014
IND1229,Sakhalin60
IND1230,HpGP-MAL-025
IND1231,HpGP-KOR-014
IND1232,HpGP-LAT-018
IND1233,HpGP-COL-010
IND1234,HpGP-COL-306
IND1235,HLJHP253
IND1236,HLJHP256
IND1237,HpGP-ISL-001
IND1238,HpGP-JAP-022
IND1239,HpGP-KOR-033
IND1240,22352
IND1241,HpGP-ITA-029
IND1242,HpGP-PER-138
IND1243,HpGP-SWT-003
IND1244,HpGP-USA-120
IND1245,HpGP-USA-422
IND1246,HpGP-FRA-006
IND1247,HpGP-LIT-020
IND1248,HpGP-SPA-102
IND1249,HN-G266
IND1250,HpGP-SPA-502
IND1251,HpGP-USA-119
IND1252,HpGP-FRA-017
IND1253,HpGP-IDN-005
IND1254,HpGP-ZAF-009
IND1255,MX-2004-102
IND1256,HpGP-JAP-110
IND1257,B47
IND1258,HpGP-GHA-003
IND1259,HpGP-LAT-014
IND1260,HpGP-SPA-407
IND1261,HpGP-SWE-013
IND1262,HpGP-FRA-008
IND1263,HpGP-RUS-009
IND1264,HpGP-CAN-017
IND1265,HpGP-LIT-008
IND1266,HpGP-ITA-003
IND1267,HpGP-CHI-208
