IND_ID,Strain_ID
IND236,HpGP-COG-005
IND237,HpGP-BGD-008
IND238,HpGP-KGZ-001
IND239,HpGP-CHI-001
IND240,HpGP-BGR-004
IND241,HpGP-CRI-001
IND242,HpGP-COL-004
IND243,HpGP-IRN-003
IND244,HpGP-SWE-018
IND245,NP05-112
IND246,Evenky01
IND247,HpGP-TUR-001
IND248,HpGP-COG-008
IND249,HpGP-KOR-101
IND250,HpGP-USA-301
IND251,HE-C50
IND252,HpGP-ISR-003
IND253,HpGP-KGZ-003
IND254,HpGP-USA-418
IND255,HN-G274
IND256,HpGP-USA-303
IND257,HpGP-CRI-006
IND258,HpGP-COL-005
IND259,HpGP-NPL-002
IND260,Nanai30
IND261,HpGP-KOR-019
IND262,HpGP-GTM-010
IND263,HpGP-MEX-045
IND264,HpGP-ARG-009
IND265,HpGP-ARG-010
IND266,HpGP-KOR-109
IND267,HpGP-USA-403
IND268,HpGP-ITA-028
IND269,HpGP-SPA-318
IND270,HpGP-LAT-012
IND271,HpGP-COL-204
IND272,SA155C
IND273,HpGP-USA-424
IND274,HLJHP271
IND275,SA220C
IND276,CAN-290
IND277,HpGP-KOR-053
IND278,HpGP-SPA-403
IND279,HpGP-ISL-006
IND280,HpGP-USA-115
IND281,52
IND282,HpGP-MEX-007
IND283,HpGP-LAT-021
IND284,26695
IND285,HpGP-SPA-321
IND286,HpGP-SPA-405
IND287,HpGP-ALG-005
IND288,HpGP-USA-420
IND289,P12
IND290,HpGP-PER-107
IND291,Nentsy65
IND292,HpGP-SWE-005
IND293,HpGP-GRE-004
IND294,HpGP-IDN-002
IND295,HpGP-ITA-010
IND296,HpGP-CAN-025
IND297,HpGP-FRA-002
IND298,SouthAfrica20
IND299,HpGP-IND-010
IND300,HP13050
IND301,HpGP-IDN-006
IND302,444
IND303,SA233C
IND304,HpGP-KOR-119
IND305,HE-C33
IND306,HpGP-TUR-016
IND307,HpGP-PER-124
IND308,HpGP-POL-007
IND309,Evenky73
IND310,HpGP-USA-412
IND311,HpGP-SPA-310
IND312,HpGP-LIT-010
IND313,HpGP-ISL-002
IND314,HpGP-BRA-023
IND315,HpGP-JAP-102
IND316,HpGP-SWT-014
IND317,HpGP-USA-414
IND318,HpGP-GRE-019
IND319,HpGP-ITA-025
IND320,HpGP-PER-136
IND321,HpGP-SGP-015
IND322,HpGP-ITA-004
IND323,HpGP-USA-008
IND324,HpGP-SPA-312
IND325,HN-G260
IND326,BURYAT27
IND327,HpGP-BRA-014
IND328,Hp-P-13
IND329,SSR5
IND330,51
IND331,HpGP-DOM-005
IND332,HpGP-GRE-036
IND333,HpGP-IRN-001
IND334,HpGP-MEX-032
IND335,HpGP-PER-013
IND336,HpGP-BRA-020
IND337,HpGP-SWE-034
IND338,HpGP-SWT-015
IND339,HpGP-SWE-012
IND340,HpGP-LAT-022
IND341,HpP_8
IND342,HpGP-CHI-016
IND343,ES-13
IND344,HpGP-DOM-003
IND345,NP05-121
IND346,HpGP-LAT-036
IND347,HpGP-MMR-009
IND348,HpGP-IDN-001
IND349,HpGP-ISL-010
IND350,HpGP-CHI-024
IND351,L7
IND352,Myanmar66
IND353,PNG84A
IND354,HpGP-ARG-003
IND355,HpGP-BRA-004
IND356,HpGP-FRA-003
IND357,HpGP-SWE-010
IND358,HpGP-USA-204
IND359,HpGP-LAT-023
IND360,HpGP-POR-108
IND361,HpGP-TWN-024
IND362,HpGP-ZAF-011
